,ward,district,date_day,date_year,charge_1_type,race_BLACK,race_WHITE HISPANIC,race_BLACK HISPANIC,race_WHITE,race_ASIAN / PACIFIC ISLANDER,race_UNKNOWN / REFUSED,race_AMER INDIAN / ALASKAN NATIVE
114,20,007,5,2014,F,1,0,0,0,0,0,0
115,16,007,17,2021,F,1,0,0,0,0,0,0
116,28,011,2,2021,F,0,0,0,1,0,0,0
117,5,003,30,2014,F,1,0,0,0,0,0,0
118,5,003,30,2014,F,1,0,0,0,0,0,0
119,5,003,30,2014,F,1,0,0,0,0,0,0
120,10,005,17,2021,F,1,0,0,0,0,0,0
121,24,010,17,2021,O,1,0,0,0,0,0,0
122,45,016,17,2021,F,1,0,0,0,0,0,0
123,16,007,2,2014,M,1,0,0,0,0,0,0
124,14,008,8,2014,M,0,1,0,0,0,0,0
125,11,009,3,2014,M,0,0,0,1,0,0,0
126,49,024,20,2014,M,1,0,0,0,0,0,0
127,24,010,11,2014,F,1,0,0,0,0,0,0
128,28,015,6,2014,M,1,0,0,0,0,0,0
129,3,002,12,2014,F,1,0,0,0,0,0,0
130,14,009,17,2021,F,0,1,0,0,0,0,0
131,41,016,17,2021,M,0,0,0,1,0,0,0
132,30,025,8,2014,M,1,0,0,0,0,0,0
133,5,002,3,2021,F,0,1,0,0,0,0,0
134,5,002,17,2019,O,1,0,0,0,0,0,0
135,5,002,17,2019,F,1,0,0,0,0,0,0
136,42,018,28,2014,O,0,0,0,1,0,0,0
137,42,018,11,2014,M,1,0,0,0,0,0,0
138,42,018,11,2014,M,0,0,0,1,0,0,0
139,37,015,3,2021,F,1,0,0,0,0,0,0
140,44,019,17,2021,M,1,0,0,0,0,0,0
141,34,022,17,2021,F,1,0,0,0,0,0,0
142,37,011,3,2021,F,0,0,0,1,0,0,0
143,6,007,1,2014,F,1,0,0,0,0,0,0
144,50,024,2,2014,M,0,0,1,0,0,0,0
145,15,007,28,2014,F,1,0,0,0,0,0,0
146,16,007,25,2014,F,1,0,0,0,0,0,0
147,22,010,17,2021,F,0,0,1,0,0,0,0
148,37,025,8,2014,O,1,0,0,0,0,0,0
149,37,025,7,2014,M,1,0,0,0,0,0,0
150,26,014,6,2014,F,1,0,0,0,0,0,0
151,37,015,21,2014,F,1,0,0,0,0,0,0
152,37,015,21,2014,F,1,0,0,0,0,0,0
153,37,015,21,2014,F,1,0,0,0,0,0,0
154,37,015,21,2014,F,1,0,0,0,0,0,0
155,8,004,19,2014,M,1,0,0,0,0,0,0
156,8,004,28,2014,F,1,0,0,0,0,0,0
157,16,009,10,2014,F,1,0,0,0,0,0,0
158,16,009,10,2014,F,1,0,0,0,0,0,0
159,16,009,10,2014,F,0,0,0,1,0,0,0
160,28,011,30,2022,F,1,0,0,0,0,0,0
161,27,011,14,2014,F,1,0,0,0,0,0,0
162,34,005,30,2022,F,1,0,0,0,0,0,0
163,34,005,23,2014,F,0,0,0,1,0,0,0
164,42,018,30,2022,F,1,0,0,0,0,0,0
165,28,011,14,2014,F,1,0,0,0,0,0,0
166,28,015,29,2021,O,1,0,0,0,0,0,0
167,28,015,31,2021,F,1,0,0,0,0,0,0
168,31,025,30,2022,F,1,0,0,0,0,0,0
169,20,003,16,2014,F,1,0,0,0,0,0,0
170,30,025,13,2014,F,0,1,0,0,0,0,0
171,42,018,30,2022,F,1,0,0,0,0,0,0
172,28,011,5,2021,F,0,1,0,0,0,0,0
173,37,011,5,2021,F,0,1,0,0,0,0,0
174,2,001,14,2014,M,0,1,0,0,0,0,0
175,24,011,17,2021,F,1,0,0,0,0,0,0
176,46,019,6,2014,O,1,0,0,0,0,0,0
177,46,019,8,2014,M,1,0,0,0,0,0,0
178,10,004,29,2014,M,1,0,0,0,0,0,0
179,10,004,25,2014,M,1,0,0,0,0,0,0
180,3,002,29,2014,M,1,0,0,0,0,0,0
181,3,002,25,2014,F,1,0,0,0,0,0,0
182,42,018,29,2021,O,1,0,0,0,0,0,0
183,42,018,30,2021,M,1,0,0,0,0,0,0
184,35,025,17,2021,F,0,1,0,0,0,0,0
185,20,007,11,2015,M,1,0,0,0,0,0,0
186,8,004,2,2014,F,1,0,0,0,0,0,0
187,2,012,6,2021,F,1,0,0,0,0,0,0
188,27,011,17,2021,F,1,0,0,0,0,0,0
189,28,011,17,2021,F,1,0,0,0,0,0,0
190,25,012,17,2021,F,0,1,0,0,0,0,0
191,28,015,21,2014,M,1,0,0,0,0,0,0
192,33,017,15,2014,O,1,0,0,0,0,0,0
193,3,002,6,2014,F,1,0,0,0,0,0,0
194,16,007,15,2014,F,1,0,0,0,0,0,0
195,16,007,17,2014,M,1,0,0,0,0,0,0
196,9,005,17,2021,M,1,0,0,0,0,0,0
197,23,008,17,2021,M,0,1,0,0,0,0,0
198,25,012,21,2014,F,1,0,0,0,0,0,0
199,27,018,17,2021,M,1,0,0,0,0,0,0
200,6,006,17,2021,M,1,0,0,0,0,0,0
201,9,005,17,2021,M,1,0,0,0,0,0,0
202,7,004,17,2021,M,1,0,0,0,0,0,0
203,45,016,17,2021,M,0,0,0,1,0,0,0
204,37,011,17,2021,F,0,0,0,1,0,0,0
205,3,002,17,2021,M,1,0,0,0,0,0,0
206,11,009,17,2021,M,0,0,0,1,0,0,0
207,22,010,17,2021,F,1,0,0,0,0,0,0
208,22,010,17,2021,F,1,0,0,0,0,0,0
209,22,010,9,2021,F,1,0,0,0,0,0,0
210,10,004,17,2021,M,1,0,0,0,0,0,0
211,29,015,17,2021,M,1,0,0,0,0,0,0
212,18,008,17,2021,M,1,0,0,0,0,0,0
213,18,008,17,2021,F,0,0,0,1,0,0,0
214,3,001,17,2021,M,1,0,0,0,0,0,0
215,9,005,8,2014,F,0,0,0,1,0,0,0
216,20,003,6,2014,M,1,0,0,0,0,0,0
217,28,011,17,2021,F,1,0,0,0,0,0,0
218,34,022,17,2021,M,1,0,0,0,0,0,0
219,4,001,17,2021,M,1,0,0,0,0,0,0
220,46,019,6,2014,F,0,0,0,1,0,0,0
221,34,005,29,2021,F,1,0,0,0,0,0,0
222,13,008,26,2014,F,0,1,0,0,0,0,0
223,48,020,29,2021,F,1,0,0,0,0,0,0
224,42,018,15,2022,M,1,0,0,0,0,0,0
225,50,024,15,2022,M,0,1,0,0,0,0,0
226,17,007,15,2022,M,1,0,0,0,0,0,0
227,18,008,15,2022,M,1,0,0,0,0,0,0
228,4,001,15,2022,M,1,0,0,0,0,0,0
229,28,011,15,2022,F,1,0,0,0,0,0,0
230,34,022,15,2022,F,1,0,0,0,0,0,0
231,30,025,17,2021,F,0,1,0,0,0,0,0
232,20,007,17,2021,F,1,0,0,0,0,0,0
233,37,011,15,2022,M,0,1,0,0,0,0,0
234,48,020,15,2022,M,0,0,0,1,0,0,0
235,10,004,15,2022,F,1,0,0,0,0,0,0
236,37,025,15,2022,F,0,1,0,0,0,0,0
237,49,024,17,2021,M,1,0,0,0,0,0,0
238,43,018,17,2021,F,1,0,0,0,0,0,0
239,18,008,15,2022,M,1,0,0,0,0,0,0
240,27,012,15,2022,M,1,0,0,0,0,0,0
241,9,005,15,2022,F,0,0,0,1,0,0,0
242,6,007,15,2022,O,1,0,0,0,0,0,0
243,44,019,15,2022,M,0,1,0,0,0,0,0
244,7,003,15,2022,F,1,0,0,0,0,0,0
245,27,011,30,2014,F,1,0,0,0,0,0,0
246,27,011,30,2014,F,1,0,0,0,0,0,0
247,42,018,8,2014,F,1,0,0,0,0,0,0
248,24,010,17,2021,M,1,0,0,0,0,0,0
249,1,014,1,2022,F,1,0,0,0,0,0,0
250,36,016,15,2022,M,0,1,0,0,0,0,0
251,44,019,15,2022,M,0,0,0,0,1,0,0
252,44,019,15,2022,M,0,0,0,1,0,0,0
253,20,003,15,2022,O,0,0,0,1,0,0,0
254,20,003,15,2022,O,0,0,0,1,0,0,0
255,16,007,15,2022,M,0,1,0,0,0,0,0
256,24,011,17,2021,M,1,0,0,0,0,0,0
257,8,004,7,2020,O,1,0,0,0,0,0,0
258,28,011,8,2021,F,1,0,0,0,0,0,0
259,28,011,17,2021,F,1,0,0,0,0,0,0
260,12,009,17,2021,M,0,1,0,0,0,0,0
261,37,011,17,2021,F,1,0,0,0,0,0,0
262,22,010,7,2021,F,0,1,0,0,0,0,0
263,37,025,7,2021,F,1,0,0,0,0,0,0
264,17,006,7,2021,F,1,0,0,0,0,0,0
265,6,003,7,2021,F,1,0,0,0,0,0,0
266,9,005,7,2021,M,1,0,0,0,0,0,0
267,25,010,1,2014,M,1,0,0,0,0,0,0
268,49,024,29,2014,M,1,0,0,0,0,0,0
269,28,011,12,2014,F,1,0,0,0,0,0,0
270,24,010,21,2015,F,1,0,0,0,0,0,0
271,24,010,14,2014,F,1,0,0,0,0,0,0
272,11,009,21,2014,F,0,1,0,0,0,0,0
273,14,009,12,2014,F,0,1,0,0,0,0,0
274,41,016,1,2022,M,0,0,0,1,0,0,0
275,28,011,29,2021,F,1,0,0,0,0,0,0
276,17,006,17,2021,O,1,0,0,0,0,0,0
277,5,003,9,2021,F,1,0,0,0,0,0,0
278,20,009,20,2014,F,0,1,0,0,0,0,0
279,6,007,18,2021,M,1,0,0,0,0,0,0
280,22,010,9,2021,F,0,1,0,0,0,0,0
281,4,002,9,2021,F,1,0,0,0,0,0,0
282,26,014,4,2014,F,0,1,0,0,0,0,0
283,42,018,1,2014,M,0,0,1,0,0,0,0
284,23,008,10,2021,F,0,1,0,0,0,0,0
285,29,025,30,2021,F,1,0,0,0,0,0,0
286,29,025,22,2021,F,1,0,0,0,0,0,0
287,24,010,29,2021,F,1,0,0,0,0,0,0
288,24,010,29,2021,F,1,0,0,0,0,0,0
289,26,014,29,2021,F,1,0,0,0,0,0,0
290,7,004,29,2014,F,1,0,0,0,0,0,0
291,7,004,29,2014,F,1,0,0,0,0,0,0
292,42,018,3,2014,F,1,0,0,0,0,0,0
293,28,015,18,2021,F,1,0,0,0,0,0,0
294,22,010,19,2014,F,0,1,0,0,0,0,0
295,22,010,22,2014,F,0,1,0,0,0,0,0
296,49,024,15,2022,M,0,0,0,1,0,0,0
297,8,004,15,2022,F,1,0,0,0,0,0,0
298,20,003,10,2021,F,1,0,0,0,0,0,0
299,28,011,15,2022,F,1,0,0,0,0,0,0
300,9,005,4,2018,F,1,0,0,0,0,0,0
301,7,003,10,2021,F,1,0,0,0,0,0,0
302,24,010,29,2014,F,1,0,0,0,0,0,0
303,33,017,15,2022,M,1,0,0,0,0,0,0
304,13,008,2,2014,F,0,1,0,0,0,0,0
305,13,008,2,2014,F,0,1,0,0,0,0,0
